Group,Plasmablast,,CD8 T Cells,,CD4 T Cells
Na夫e,5.628307563,,585.7377382,,1075.157978
Na夫e,3.544510228,,543.0762242,,1001.50348
Na夫e,2.361426849,,444.8636827,,831.1880711
Na夫e,1.370856955,,362.494701,,748.3072319
Na夫e,1.040112809,,361.7668212,,678.2977936
Na夫e,0.917702438,,323.6626878,,542.8363931
Na夫e,0.871829186,,161.8831764,,569.8469101
Na夫e,0.710212231,,272.582182,,608.6885997
Na夫e,1.028399003,,321.7169766,,544.4573153
Na夫e,1.032165461,,321.7169766,,468.2882528
Na夫e,0.565900221,,215.4615686,,435.8362861
Na夫e,0.624062397,,188.8999904,,421.8090527
Na夫e,0.503682682,,137.0558617,,337.8293954
Na夫e,0.465623402,,,,316.7030895
Na夫e,0.229478509,,,,
,,,,,
,,,,,
,,,,,
IAV,32.69969009,,7.724503329,,768.4926091
IAV,36.87019933,,433.3905384,,711.6205696
IAV,7.781245538,,382.934231,,405.4752577
IAV,5.562437268,,244.5875156,,402.6354076
IAV,6.881413124,,220.7767927,,343.0231556
IAV,6.659237455,,159.915865,,319.19758
IAV,3.425793413,,149.6031743,,287.9123405
IAV,3.604760575,,160.0900695,,257.8563265
IAV,2.993907066,,127.2439868,,175.1970843
IAV,2.631913041,,120.190244,,168.5957665
IAV,2.445006484,,89.62471647,,145.1102151
IAV,2.346942283,,75.60026962,,136.864943
IAV,1.45228304,,63.12746091,,136.1671342
IAV,1.487145473,,58.46106875,,109.6641891
IAV,0.962893035,,38.86201587,,100.3445209
IAV,1.00697959,,42.18951518,,82.45396363
IAV,0.885779597,,39.45888884,,78.48437555
IAV,0.983198345,,34.55107001,,61.21674304
IAV,0.917620728,,34.19700302,,49.91104238
IAV,0.856950992,,31.91410579,,32.52722853
IAV,0.552043223,,28.14904804,,71.92670354
IAV,0.184454583,,22.88719716,,59.29194526
IAV,,,,,22.0390987
,,,,,
CoV2,49.16120673,,197.8539575,,594.2445331
CoV2,40.41744823,,148.8159507,,533.2688041
CoV2,19.21103538,,154.0659848,,502.4325703
CoV2,19.5201752,,139.5225558,,393.2840982
CoV2,18.88489477,,142.8687454,,380.053956
CoV2,16.98339853,,122.4661183,,362.7857686
CoV2,18.2572565,,115.7450979,,284.8828439
CoV2,15.13369648,,101.4678392,,240.9020269
CoV2,15.71970224,,103.9535573,,285.875608
CoV2,10.89775202,,83.48062376,,252.2254932
CoV2,10.36408657,,78.28703074,,203.9570909
CoV2,7.394268124,,75.96202498,,199.5882264
CoV2,6.376208107,,76.01294385,,179.7962494
CoV2,3.981637673,,65.80485039,,137.9673247
CoV2,5.389087797,,60.37670504,,134.6291968
CoV2,5.594773781,,45.83646079,,133.5060957
CoV2,2.876647392,,50.02858057,,119.2552876
CoV2,1.546661332,,29.07141122,,114.209141
CoV2,2.088534622,,14.14994224,,94.93893379
CoV2,0.308030502,,2.893297241,,86.51987585
CoV2,,,,,40.28513115
CoV2,,,,,15.76284899